label,tpar_t,tpar_m,tpar_f,tsal_t,tsal_m,tsal_f,ppar_t_16a24,ppar_t_25a34,ppar_t_35a44,ppar_t_45a54,ppar_t_55mas
Agaete,19.65,17.48,21.98,85.57,82.96,88.54,55,76,81,160,162
Agüimes,14.48,12.04,17.04,88.51,86.13,91.15,217,347,427,662,888
Antigua,9.69,7.69,11.98,81.32,78.92,84.18,43,78,94,157,196
Arrecife,10.33,8.54,12.21,90.38,88.76,92.15,246,598,692,865,1315
Artenara,11.85,9.3,16.16,87.0,83.85,92.79,6,9,11,17,18
Arucas,16.83,14.18,19.52,88.43,85.22,91.91,316,481,546,900,1158
Betancuria,8.65,5.78,12.46,85.69,83.44,88.93,4,9,6,5,9
Firgas,17.6,14.46,21.05,85.84,83.47,88.67,68,100,101,171,259
Gáldar,17.22,14.78,19.71,88.43,85.5,91.61,224,381,354,509,650
Haría,11.82,10.46,13.35,81.73,77.88,86.21,17,42,57,92,113
Ingenio,15.39,11.98,19.01,89.69,87.66,92.04,285,371,419,713,871
Mogán,10.32,8.5,12.41,80.72,78.26,83.69,88,148,174,278,365
Moya,20.19,15.68,25.21,82.22,78.01,87.5,71,85,130,217,283
La Oliva,9.58,8.57,10.67,75.78,72.82,79.08,78,195,309,360,367
Pájara,6.75,5.45,8.2,89.26,87.87,90.88,49,137,166,170,237
Las Palmas de Gran Canaria,17.55,15.16,19.89,86.72,83.81,89.75,2671,4176,5505,8164,11781
Puerto del Rosario,10.46,8.95,11.98,88.6,86.15,91.14,229,404,480,635,745
Telde,17.67,14.69,20.69,88.13,85.25,91.27,929,1237,1578,2517,3306
Teror,17.0,13.99,20.42,85.03,80.81,90.21,101,152,178,288,418
Yaiza,5.99,5.16,6.91,84.02,81.76,86.58,38,98,121,135,178
San Bartolomé,7.94,7.06,8.82,86.0,82.68,89.34,62,131,153,193,307
San Bartolomé de Tirajana,12.64,10.5,15.19,78.76,75.94,82.29,245,431,622,891,1304
La Aldea de San Nicolás,18.34,16.43,20.58,87.67,85.47,90.38,69,104,76,166,204
Santa Brígida,12.9,11.37,14.52,79.97,77.04,83.17,90,148,172,308,439
Santa Lucía de Tirajana,14.87,11.37,18.48,89.28,87.31,91.49,493,859,1072,1526,2107
Santa María de Guía de Gran Canaria,17.0,14.59,19.43,87.49,83.58,91.68,132,183,207,293,369
Teguise,7.62,6.14,9.14,80.23,77.05,83.62,51,123,170,236,354
Tejeda,13.78,11.48,17.03,84.45,82.67,87.14,6,13,19,29,55
Tías,7.89,6.07,9.95,78.92,76.41,81.87,40,108,162,201,306
Tinajo,9.2,8.47,10.0,84.21,81.18,87.59,27,51,65,82,111
Tuineje,9.71,8.28,11.23,88.48,86.67,90.49,70,134,140,192,276
Valsequillo de Gran Canaria,14.72,11.52,18.11,84.31,79.57,89.73,79,98,131,185,271
Valleseco,16.38,15.74,17.19,83.87,78.96,90.28,21,35,56,85,111
Vega de San Mateo,15.54,12.8,18.67,84.21,80.39,88.87,51,90,99,160,229
Adeje,8.74,7.0,10.59,77.45,74.59,80.63,149,304,439,534,722
Agulo,16.31,15.72,17.04,84.94,83.85,86.31,9,12,12,17,28
Alajeró,10.56,9.39,11.92,87.86,87.97,87.72,8,19,11,28,38
Arafo,14.6,11.25,18.19,86.27,83.56,89.43,40,63,76,98,154
Arico,14.24,12.42,16.35,85.63,83.47,88.26,37,88,137,171,219
Arona,11.38,9.32,13.58,83.07,80.64,85.8,299,632,902,1256,1831
Barlovento,16.53,15.46,17.77,79.81,73.12,87.88,13,22,23,36,60
Breña Alta,14.16,12.12,16.22,85.49,82.6,88.55,49,88,86,116,197
Breña Baja,12.97,10.08,15.97,85.74,81.87,90.06,27,62,68,92,149
Buenavista del Norte,16.71,14.74,18.86,82.45,81.66,83.36,29,45,57,98,130
Candelaria,12.9,10.43,15.26,86.46,83.9,89.06,149,254,341,477,640
Fasnia,15.44,13.94,17.36,85.24,83.25,87.91,16,21,34,69,90
Frontera,13.9,13.2,14.66,81.54,77.68,85.76,29,41,54,68,90
Fuencaliente de La Palma,14.31,10.78,18.25,81.31,77.32,86.16,13,26,19,34,37
Garachico,16.88,14.75,19.34,83.73,82.54,85.19,25,45,51,92,149
Garafía,21.94,19.96,24.28,78.03,73.37,83.86,11,21,37,35,45
Granadilla de Abona,11.66,9.77,13.59,86.75,84.79,88.84,238,471,599,881,1231
La Guancha,16.69,11.88,21.87,84.12,82.33,86.29,36,53,88,115,144
Guía de Isora,9.99,8.5,11.57,86.21,84.34,88.26,81,145,215,248,408
Güímar,15.19,13.19,17.23,87.83,86.32,89.46,129,232,323,433,565
Hermigua,17.7,17.19,18.35,83.69,81.38,86.71,12,22,26,41,55
Icod de los Vinos,18.58,15.26,22.2,82.91,81.36,84.74,149,272,371,517,785
San Cristóbal de La Laguna,16.43,14.24,18.59,87.71,85.23,90.28,1174,1992,2354,3362,4562
Los Llanos de Aridane,17.03,13.71,20.31,80.39,74.71,86.49,133,224,278,445,592
